event_id,event_date,event_title,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_category,fatality_count,country_name,admin_division_name,source_name,source_link,latitude,longitude
9119,12/25/2015 06:00:00 PM,"Kachin, Myanmar (Burma)","Kachin, Myanmar (Burma)",unknown,mining,medium,landslide,5,Myanmar [Burma],Kachin,RT,https://www.rt.com/news/327144-myanmar-landslide-jade-mines/,26.0746,97.3668
9245,01/25/2016 12:00:00 AM,Hpakan,Hpakan,1km,mining,medium,landslide,6,Myanmar [Burma],Kachin,The Irrawaddy,http://www.irrawaddy.com/burma/at-least-a-dozen-missing-in-latest-hpakant-landslide.html,25.6226,96.2946
9308,02/16/2016 11:00:00 PM,Sylhet,Sylhet,5km,mining,small,rock_fall,1,Bangladesh,Sylhet,The Daily Star,http://www.thedailystar.net/city/woman-dies-sylhet-landslide-573988,24.9007,91.8644
9333,02/25/2016 01:00:00 PM,Jaflong,Jaflong,5km,mining,small,landslide,1,Bangladesh,Sylhet,NTV,http://en.ntvbd.com/bangladesh/17930/Mudslide-at-Sylhet-stone-quarry-kills-worker,25.1622,92.0104
9365,04/02/2016 12:00:00 AM,Phar Kant Jade Mining,Phar Kant Jade Mining,10km,unknown,large,landslide,104,Myanmar [Burma],Kachin,nvs24,http://nvs24.com/news/topstories/Dozens-missing-in-Myanmar-landslide-4678643.html,25.6219,96.2887
9405,04/19/2016 12:00:00 AM,"Techahan Ward, Mon, Nagaland, India","Techahan Ward, Mon, Nagaland, India",1km,continuous_rain,medium,landslide,0,India,Nagaland,Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=may0216/oth058,26.7223,95.0243
7655,04/22/2016 02:30:00 AM,"Tawang, Arunachal Pradesh","Tawang, Arunachal Pradesh",5km,continuous_rain,medium,landslide,17,India,Arunachal Pradesh,Zee News,http://zeenews.india.com/news/north-east/landslide-in-tawang-area-of-arunachal-pradesh-watch-video_1878690.html,27.5799,91.8569
9428,04/22/2016 09:30:00 PM,"Thongleng village, Lumla, Tawang, Arunachal Pradesh, India","Thongleng village, Lumla, Tawang, Arunachal Pradesh, India",10km,continuous_rain,medium,landslide,2,,,Arunchal Times,http://www.arunachaltimes.in/two-killed-in-lumla-landslide-four-injured/,27.5523,91.752
9404,05/01/2016 12:00:00 AM,"Hayuliang, Anjaw district,Arunachal Pradesh, India","Hayuliang, Anjaw district,Arunachal Pradesh, India",1km,downpour,medium,landslide,0,India,Arunachal Pradesh,Business Standard,http://www.business-standard.com/article/pti-stories/landslides-in-arunachal-district-no-loss-of-life-116050200846_1.html,28.0822,96.5316
9334,05/18/2016 08:00:00 AM,"Bilaipur, Hailakandi district, Assam, India","Bilaipur, Hailakandi district, Assam, India",1km,continuous_rain,unknown,landslide,2,India,Assam,Indian Express,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,24.5204,92.7264
9335,05/18/2016 08:00:00 AM,"Bilaipur, Hailakandi district, Assam, India","Bilaipur, Hailakandi district, Assam, India",1km,continuous_rain,unknown,landslide,2,India,Assam,Indian Express,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,24.5202,92.7239
9336,05/18/2016 08:00:00 AM,"Ramchandi , Hailakandi District, Assam, India","Ramchandi , Hailakandi District, Assam, India",1km,continuous_rain,small,landslide,1,India,Assam,Indian Express,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,24.5308,92.5121
9338,05/18/2016 08:00:00 AM,"Sonachirra, Karimganj district, Assam, India","Sonachirra, Karimganj district, Assam, India",10km,continuous_rain,medium,landslide,5,India,Assam,Indian Express,http://indianexpress.com/article/india/india-news-india/at-least-10-killed-in-landslides-in-assam-rescue-operations-underway-2806810/,24.4638,92.4943
9309,05/23/2016 08:15:00 PM,"Hpakant, Kachin State, Myanmar","Hpakant, Kachin State, Myanmar",5km,downpour,medium,landslide,14,Myanmar [Burma],Kachin,Myanmar Times,http://www.mmtimes.com/index.php/national-news/20486-hpakant-landslide-kills-14-leaves-up-to-200-missing.html,25.6127,96.2961
9168,06/12/2016 11:00:00 PM,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",10km,downpour,medium,landslide,0,India,Arunachal Pradesh,Arunachal Times,http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/,27.6438,93.871
9169,06/12/2016 12:00:00 AM,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India","on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",100km,continuous_rain,unknown,landslide,0,India,Nagaland,Nagaland Post,http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA5ODM0Mg%3D%3D,26.1677,94.2442
9142,06/14/2016 08:00:00 AM,"lower Majakong Ward, Mokokchung, Nagaland, India","lower Majakong Ward, Mokokchung, Nagaland, India",1km,continuous_rain,medium,landslide,0,India,Nagaland,Nagaland Post,http://www.nagalandpost.com/channelnews/state/StateNews.aspx?news=TkVXUzEwMDA5ODM4NA%3D%3D,26.3185,94.5247
8222,06/22/2016 12:00:00 PM,"Piyali Phukan Nagar, Guwahati, India","Piyali Phukan Nagar, Guwahati, India",5km,downpour,medium,mudslide,1,India,Assam,NYOOOZ,http://www.nyoooz.com/guwahati/515423/woman-killed-in-wall-collapse-after-landslide-in-guwahati,26.1961,91.7825
8237,07/01/2016 12:00:00 AM,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India","Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",1km,downpour,large,landslide,5,India,Arunachal Pradesh,The Hindu,http://www.thehindu.com/news/national/many-killed-in-arunachal-landslip/article8798739.ece,27.0136,92.6351
8684,07/07/2016 12:00:00 AM,"Kamrup district, Assam, India","Kamrup district, Assam, India",50km,continuous_rain,medium,landslide,2,India,Assam,Hindustan Times,http://www.hindustantimes.com/india-news/two-killed-due-to-landslide-in-assam/story-iWPiQmWinCDc8gZotcTmFM.html,25.9611,91.3681
8900,07/07/2016 12:00:00 AM,"Imphal-Ukhrul sector of National Highway 102, Manipur, India","Imphal-Ukhrul sector of National Highway 102, Manipur, India",25km,monsoon,large,landslide,0,India,Manipur,Eastern Mirror,http://www.easternmirrornagaland.com/landslide-hampers-nh-102-traffic-restored/,25.0118,94.3136
8901,07/10/2016 12:00:00 AM,"National Highway 2, near Kohima, Nagaland, India","National Highway 2, near Kohima, Nagaland, India",25km,downpour,medium,landslide,0,India,Nagaland,Business Standard,http://www.business-standard.com/article/news-ians/landslide-blocks-nh2-disrupting-traffic-to-and-from-manipur-116071000262_1.html,25.7902,94.1318
8930,07/11/2016 11:00:00 PM,"North Point Colony, Akuluto, Nagaland, India","North Point Colony, Akuluto, Nagaland, India",1km,unknown,large,landslide,0,India,Nagaland,Nagaland Post,https://issuu.com/nagalandpost90/docs/july_13__2016,26.1699,94.4922
9027,07/12/2016 12:00:00 AM,"Jade mine in HmawShan Village in Phakant Township of Kachin State, Myanmar","Jade mine in HmawShan Village in Phakant Township of Kachin State, Myanmar",5km,mining,medium,landslide,4,Myanmar [Burma],Kachin,Mizzima News,http://mizzima.com/news-domestic/four-killed-landslide-phakant,25.6566,96.3495
8995,07/14/2016 12:00:00 AM,"Noonmati Nijarapar area of the city, Guwahati, Assam, India","Noonmati Nijarapar area of the city, Guwahati, Assam, India",5km,monsoon,small,landslide,1,India,Assam,Indian Express,http://indianexpress.com/article/india/india-news-india/separate-landslides-kill-two-in-assam-2913748/,26.1963,91.8074
8996,07/14/2016 12:00:00 AM,"Pub Sarania hill, South Sarania, Guwahati, Assam, India","Pub Sarania hill, South Sarania, Guwahati, Assam, India",1km,monsoon,small,landslide,1,India,Assam,Indian Express,http://indianexpress.com/article/india/india-news-india/separate-landslides-kill-two-in-assam-2913748/,26.1768,91.7702
9010,07/16/2016 12:00:00 AM,"Hoj-Potin Highway, Arunachal Pradesh, India","Hoj-Potin Highway, Arunachal Pradesh, India",5km,downpour,medium,mudslide,1,India,Arunachal Pradesh,Arunachal Times,http://www.arunachaltimes.in/man-washed-away-by-mudslide/,27.3034,93.804
9051,07/19/2016 09:00:00 AM,"12th Mile area at Jorabat, Meghalaya, India","12th Mile area at Jorabat, Meghalaya, India",25km,unknown,medium,landslide,0,India,Meghalaya,NELIVE (North East Live),http://www.nelive.in/assam/news/woman-injured-landslide,26.09748244,91.8744337
9087,07/19/2016 12:00:00 AM,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India","5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India",50km,downpour,medium,landslide,0,India,Arunachal Pradesh,NELive,http://www.nelive.in/arunachal-pradesh/news/landslide-disrupts-road-communication-between-aalo-and-pangin,28.235,94.9612
9124,07/19/2016 12:00:00 AM,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India","Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India",5km,continuous_rain,large,translational_slide,0,India,Meghalaya,Business Standard,http://www.business-standard.com/article/news-ani/over-hundred-homes-displaced-due-to-landslide-in-meghalaya-116072100406_1.html,25.203,90.5573
9122,07/20/2016 12:00:00 AM,"Noonmati, Guwahati, Assam, India","Noonmati, Guwahati, Assam, India",5km,rain,medium,landslide,0,India,Assam,Times of India,http://timesofindia.indiatimes.com/city/guwahati/Landslide-toll-touches-6-as-woman-buried-alive-in-Guwahati/articleshow/53314082.cms,26.1966,91.802
9186,07/25/2016 12:30:00 PM,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India","Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India",1km,continuous_rain,medium,landslide,0,India,Manipur,E-Pao,http://www.e-pao.net/GP.asp?src=Snipp1..260716.jul16,25.48,94.1383
9219,07/26/2016 11:00:00 PM,"Zunheboto, Nagaland, India","Zunheboto, Nagaland, India",5km,downpour,medium,landslide,0,India,Nagaland,Nagaland Post,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMDE5MQ%3D%3D,26.0101,94.5282
9232,07/28/2016 11:00:00 PM,"Ngur, near Mizoram-Myanmar border, India","Ngur, near Mizoram-Myanmar border, India",1km,continuous_rain,medium,landslide,2,India,Mizoram,Business Standard,http://www.business-standard.com/article/pti-stories/two-killed-in-mizoram-landslide-116072900324_1.html,23.5397,93.3783
9251,07/28/2016 11:00:00 PM,"Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India","Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India",1km,downpour,medium,landslide,0,India,Nagaland,Nagaland Post,http://nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMDI0Mw%3D%3D,25.8702,94.7844
9252,07/28/2016 12:00:00 AM,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India","Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",5km,monsoon,medium,landslide,0,India,Arunachal Pradesh,Arunchal Times,http://www.arunachaltimes.in/monsoon-fury-continues-to-pound-tawang/,27.5748,91.8644
9464,08/05/2016 12:00:00 AM,Babrang village under Jang circle in Tawang district,Babrang village under Jang circle in Tawang district,5km,downpour,medium,landslide,0,India,Arunachal Pradesh,Business Standard,http://www.business-standard.com/article/pti-stories/three-injured-houses-collapse-in-landslide-in-arunachal-116080700399_1.html,27.5754,91.9754
9869,08/16/2016 12:40:00 PM,Landslide at Longding,"Longding, India",25km,other,small,landslide,1,,,The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=aug1716/oth054,26.88161,95.399897
