event_id,event_date,event_title,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_category,fatality_count,country_name,admin_division_name,source_name,source_link,latitude,longitude
9797,05/24/2017 08:14:00 PM,Mudslide in on Sarli-Damin road,"Sarli-Damin road in Kurung Kumey district, near Lee village",25km,rain,small,mudslide,1,,,Arunachal Times,http://www.arunachaltimes.in/mudslide-kills-one/,27.769793,93.50995626
9789,05/26/2017 04:59:00 PM,Retaining wall collapse in Nongpoh,"St Paul's Secondary School, Nongpoh",exact,rain,small,landslide,0,,,Shillong Times,http://www.theshillongtimes.com/2017/05/27/two-students-among-injured-in-nongpoh-landslide/,25.907233,91.881892
9770,06/01/2017 01:34:00 PM,"Landslide in Mizoram, off of Aizawl","Hunthar Area, NH 54, off of Aizawl",5km,tropical_cyclone,medium,landslide,0,,,Morung Express,http://morungexpress.com/landslides-mizoram-aizawl-cut-off/,23.73941422,92.71505961
9742,06/02/2017 01:34:00 PM,Landslide in Kohima,"The road that connects civil secretariat and medical college site towards BSF camp at Nhachüko, Kohima",1km,continuous_rain,medium,landslide,0,,,Nagaland Post,http://www.nagalandpost.com/channelnews/State/StateNews.aspx?news=TkVXUzEwMDExNTcxMA%3D%3D,25.67061161,94.11844319
9733,06/03/2017 01:20:00 PM,Landslide in Tripura,Vidyamohan Chowdhury Para (???) of remote Dhalai district,50km,continuous_rain,medium,landslide,3,,,Signs of the Times,https://www.sott.net/article/353005-Landslide-kills-at-least-3-in-Tripura-India,23.86469956,91.8949662
9745,06/03/2017 01:34:00 PM,Landslide in Kamalpur,Kamalpur,10km,rain,medium,landslide,3,,,Times of India,http://timesofindia.indiatimes.com/city/agartala/women-2-kids-killed-in-landslide/articleshow/58994998.cms,24.19467451,91.82931979
9743,06/04/2017 01:34:00 PM,Landslide near Itangar,"Poma River, west of Itangar",5km,unknown,medium,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/pipeline-damaged-in-poma-water-crisis-lingers-on/,27.05909317,93.54235868
9750,06/04/2017 01:34:00 PM,"Flood, Landslide in Assam",Dima Hasao district,50km,continuous_rain,medium,landslide,,,,NELive,http://www.nelive.in/assam/news/assam-flood-landslide-disrupts-rail-connectivity-barak-valley-over-13000-affected-due,25.15246863,92.94670614
9712,06/10/2017 01:27:00 PM,"Landslide in Aizawl, kills 2",,1km,rain,small,landslide,2,,,Zoram Observer,https://www.zoramobserver.com/mizoram/2-killed-in-landslide-triggered-by-heavy-rains/,23.73354779,92.74744512
9704,06/12/2017 01:27:00 PM,Mudslide in Eastern Manipur,"Khaivarentang village (??) in Ukhrul, Manipur",50km,continuous_rain,medium,mudslide,0,,,Eastern Mirror,http://www.easternmirrornagaland.com/landslide-hits-khaivarentang-homesteads-sunken/,25.11956675,94.36416626
10962,06/17/2017 01:16:00 PM,Landslide damages Aizawl-Champhai Road,"Aizawl-Champhai road, Champhai, Mizoram State, India",5km,continuous_rain,small,landslide,0,,,Zoram Observer,https://www.zoramobserver.com/mizoram/landslides-cut-off-various-parts-of-mizoram-as-rain-continues/,23.65637182,93.02746602
10985,06/17/2017 06:45:00 PM,Fatal landslide in Mawjrong,"Khatarshnong Laitkroh, East Khasi Hills, Meghalaya",1km,continuous_rain,medium,landslide,1,,,The Arunachal Times,http://www.arunachaltimes.in/six-killed-in-meghalaya-landslides/,25.43807422,91.79904872
10987,06/17/2017 06:45:00 PM,Fatal landslide in Umiam,"Umiam, Ribhoi, Meghalaya",5km,continuous_rain,medium,landslide,3,,,The Arunachal Times,http://www.arunachaltimes.in/six-killed-in-meghalaya-landslides/,25.67836832,91.9234343
10966,06/18/2017 02:21:00 PM,Fatal landslide in Dimai village,"Dimai village (??), Barlekha Upazila, Bangaldesh",5km,rain,medium,landslide,2,,,The New Nation,http://thedailynewnation.com/news/137920/two-killed-in-barlekha-landslide.html,24.70412149,92.23034662
11178,06/18/2017 01:16:00 PM,Landslide traps commuters,"Bhalukpong, Assam",10km,monsoon,medium,landslide,0,,,Eastern Mirror,http://www.easternmirrornagaland.com/army-rescues-200-people-from-landslide-site-in-arunachal-pradesh/,26.96437841,92.78260587
10965,06/19/2017 02:21:00 PM,Landslide in Lawachara National Park,"Lawachara National Park, Bangladesh",1km,rain,small,landslide,0,,,The Daily Star,http://www.thedailystar.net/backpage/rail-link-sylhet-cut-6-hours-1422739,24.33197035,91.8008536
9829,06/19/2017 01:15:00 PM,Landslide in Chimpu,,1km,unknown,small,landslide,1,,,Arunachal Times,http://www.arunachaltimes.in/akddsu-mourns-students-death/,27.06992579,93.6146564
11176,06/20/2017 01:16:00 PM,Fatal landslide in Gussar circle,"Gussar, Upper Subansiri, Arunachal Pradesh",5km,rain,medium,landslide,1,,,The Arunachal Times,http://www.arunachaltimes.in/man-buried-alive-in-landslide/,28.10756941,94.18315697
9834,06/21/2017 06:51:00 PM,Landslide in Itanagar,"Poma, 6km away from Itanagar",1km,rain,small,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/landslide-disrupts-water-supply-again/,27.05880384,93.54136779
11161,06/24/2017 01:23:00 PM,Landslide on road isolates villages,"Alongkima, Mokokchung, Nagaland",5km,rain,small,landslide,0,,,The Northeast Today,https://thenortheasttoday.com/nagaland-landslides-cuts-off-lifeline-route-to-12-villages/,26.66354481,94.62220277
10024,06/25/2017 01:10:00 PM,"Landslide on road near Ghokuto village, Nagaland","Ghokuto, Nagaland",5km,continuous_rain,medium,mudslide,0,,,Nagaland Post,https://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDExNjg3MQ%3D%3D,25.83762589,93.94633448
9875,06/26/2017 01:20:00 PM,Landslide destroys section of National Highway 2,"NH 2, Manipur State, India",5km,downpour,large,landslide,0,,,Zoram Observer,https://www.zoramobserver.com/manipur/landslide-cuts-off-8-manipur-villages-in-pherzawl-district-for-5-days-now/,24.32420539,93.15020652
9877,06/26/2017 01:20:00 PM,Landslide blocks NH-2 between Pherzawl and Bukpi,"NH-2, Pherzawl District, Manipur State, India",10km,downpour,medium,landslide,0,,,Zoram Observer,https://www.zoramobserver.com/manipur/landslide-cuts-off-8-manipur-villages-in-pherzawl-district-for-5-days-now/,24.21988831,93.20266204
9876,06/27/2017 01:20:00 PM,Landslide cuts off NH 2,"NH 2, Manipur State, India",5km,downpour,medium,landslide,0,,,Zoram Observer,https://www.zoramobserver.com/manipur/landslide-cuts-off-8-manipur-villages-in-pherzawl-district-for-5-days-now/,24.30415689,93.18182448
9989,06/28/2017 04:00:00 PM,Landslide damages road,"Aizawl, Mizoram State, India",10km,other,large,landslide,0,,,Zoram Observer,https://www.zoramobserver.com/mizoram/aizawl-champhai-road-cut-off-by-strange-landslide/,23.69461107,92.87641207
9931,06/30/2017 03:17:00 PM,NH-2 blocked by landslide along Imphal-Dimapur section,Torrential downpour causes road-blocking lansdlide along NH-2 near Bimparao village,1km,downpour,small,landslide,0,,,E-Pao,http://e-pao.net/GP.asp?src=2..020717.jul17,25.06657276,93.9310888
9933,06/30/2017 03:17:00 PM,Landslide threatens orphanage with collapse,"Jollang, Itanagar Sub-District, Papum Pare, Arunachal Pradesh, 791123",1km,downpour,medium,landslide,0,,,The Arunachal Times,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,27.04768643,93.61899644
9932,07/01/2017 03:17:00 PM,Landslide near Dree Festival Ground,"Dree Festival Ground, NH-415, Arunachal Pradesh, India",exact,downpour,medium,landslide,0,,,The Arunachal Times,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,27.10647226,93.65975252
9934,07/01/2017 03:17:00 PM,Landslide blocks road,"Bhalukpong, West Kameng, Arunachal Pradesh",1km,continuous_rain,small,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,27.01145644,92.64204045
9935,07/01/2017 03:17:00 PM,House in Itanagar washed away by landslide,"Sanglo Potum (??), Itanagar, Papum Pare, Arunachal Pradesh",5km,continuous_rain,medium,landslide,0,,,Arunachal Pradesh,http://www.arunachaltimes.in/nature-unleashes-fury-leaves-trail-of-devastation-in-itanagar/,27.08168565,93.60815652
9948,07/01/2017 02:33:00 PM,Landslide causes Ukhrul-Imphal road to sink,"NH-150, Ukhrul Central, Ukhrul, Manipur, 795142",1km,rain,small,landslide,0,,,The Northeast Today,https://thenortheasttoday.com/manipur-ukhrul-district-affected-by-landslide-along-imphal-ukhrul-highway-namthilog/,24.95178179,94.20340026
9982,07/01/2017 04:00:00 PM,Landslide blocks roads,"Chuchuyimpang, Mokokchung, Nagaland",1km,downpour,medium,landslide,0,,,WebIndia123,https://news.webindia123.com/news/Articles/India/20170703/3137813.html,26.3312531,94.55427723
9983,07/01/2017 04:00:00 PM,Landslides blocks Wokha-Merapani Road,"Wokha Sadar Sub-District, Wokha, Nagaland",5km,continuous_rain,small,landslide,0,,,WebIndia123,https://news.webindia123.com/news/Articles/India/20170703/3137813.html,26.11613908,94.24222574
9984,07/01/2017 04:00:00 PM,Landslide along Wokha-Merapani road,"Wokha Sadar Sub-District, Wokha, Nagaland",5km,downpour,small,landslide,0,,,WebIndia123,https://news.webindia123.com/news/Articles/India/20170703/3137813.html,26.1445447,94.24416766
9940,07/03/2017 03:17:00 PM,Landslide in Panikhaiti kills girl,"Panikhaiti, Kamrup Metropolitan, Assam State, India",1km,continuous_rain,medium,landslide,1,,,The Tribune,http://www.tribuneindia.com/news/nation/7-year-old-girl-killed-by-landslide-at-guwahati/431122.html,26.20450454,91.87202793
9949,07/03/2017 02:33:00 PM,Landslide opposite Jorabat Police Outpost,"G S Road, Sonapur, Kamrup Metropolitan, Assam, 781141",1km,downpour,small,landslide,0,,,The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul0417/city055,26.10035658,91.87351723
9951,07/03/2017 02:33:00 PM,Landslide hits Jorabat,"Jorabat, Assam State, India",5km,downpour,small,landslide,0,,,The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul0417/city055,26.1061808,91.85158907
9952,07/03/2017 02:33:00 PM,Landslide hits Jorabat,"Sonapur, Kamrup Metropolitan, Assam",5km,downpour,small,landslide,0,,,The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul0417/city055,26.10430759,91.86227824
9972,07/03/2017 04:00:00 PM,Fatal landslide in Chandrapur,"Chandrapur, Kamrup Metropolitan, Assam",10km,continuous_rain,medium,landslide,1,,,Hindustan Times,http://www.hindustantimes.com/india-news/two-more-killed-in-assam-floods-more-than-3-5-lakh-people-affected/story-MmZHSSifUM78Jhd7l8lEzJ.html,26.22247247,91.92053028
9974,07/04/2017 04:00:00 PM,Landslide blocks road,"AH1, Mao-Maram, Senapati, Manipur, 795150",1km,continuous_rain,small,landslide,0,,,Imphal Free Press,http://www.ifp.co.in/item/1610-landslide-at-mao-gate,25.4976444,94.12901274
9993,07/04/2017 07:39:00 PM,Landslide along Daporijo-Dumporijo road,"Daporijo-Dumporijo road, Arunachal Pradesh, India",10km,rain,small,landslide,0,,,The Arunachal Times,http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/,27.97875751,94.26296826
9998,07/04/2017 07:39:00 PM,Landslide in Daporijo,"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",1km,rain,medium,landslide,0,,,The Arunachal Times,http://www.arunachaltimes.in/landslide-washes-away-house-in-daporijo/,27.98531715,94.21263589
10005,07/06/2017 07:39:00 PM,Landslide crushes house,"Beltola, Assam State-Meghalaya State border, India",10km,continuous_rain,medium,landslide,0,,,DY365,http://dy365.in/news_details.php?aID=6427&subC=2,26.10973183,91.80317334
10986,07/06/2017 01:16:00 PM,Landslide on NH-6,"Umsning, Ribhoi, Meghalaya State, India",1km,downpour,medium,landslide,0,,,The Shillong Times,http://www.theshillongtimes.com/2017/07/07/landslide-blocks-nh-6-hundreds-stranded/,25.82860033,91.876717
10865,07/08/2017 02:21:00 PM,Landslide on Samdrupjongkhar to Trashigang road,Bhutan,25km,rain,small,landslide,,,,Kuensel,http://www.kuenselonline.com/landslides-block-roads-across-the-country/,27.16009861,91.6036289
11151,07/08/2017 01:23:00 PM,Landslides along Lamlang River,"Ukhrul Central, Ukhrul, Manipur",100km,continuous_rain,medium,landslide,0,,,E-Pao,http://e-pao.net/GP.asp?src=4..090717.jul17,25.06466676,94.27420555
11155,07/08/2017 01:23:00 PM,Landslides at Kiruphema village,"Kiruphema village, Kohima, Nagaland",5km,continuous_rain,medium,landslide,0,,,WebIndia123,https://news.webindia123.com/news/articles/India/20170708/3142321.html,25.72019272,94.03225673
11179,07/08/2017 02:21:00 PM,Landslide on Phuntsholing-Thimphu road,"Phuntsholing-Thimphu road, Bhutan",50km,downpour,small,landslide,,,,Kuensel,http://www.kuenselonline.com/landslides-block-roads-across-the-country/,27.02856666,89.57220662
11180,07/08/2017 02:21:00 PM,Landslide on road between Wangdue and Thimphu,"Wangdeu-Thimphu road, Bhutan",10km,downpour,small,landslide,0,,,Kuensel,http://www.kuenselonline.com/landslides-block-roads-across-the-country/,27.51353298,89.79033898
11181,07/08/2017 02:21:00 PM,Landslide blocks road between Dagapela and Dagana,Bhutan,5km,downpour,small,landslide,0,,,Keunsel,http://www.kuenselonline.com/landslides-block-roads-across-the-country/,27.04040393,89.90633458
11182,07/08/2017 02:21:00 PM,Landslides block roads connecting to Lhamoizingkha,Bhutan,25km,downpour,medium,landslide,0,,,Kuensel,http://www.kuenselonline.com/landslides-block-roads-across-the-country/,27.02099026,89.90712175
10968,07/09/2017 01:23:00 PM,Landslide blocks road near Thanlon,"Thanlon, Churachandpur, Manipur",1km,continuous_rain,small,landslide,0,,,Hindustan Times,http://www.hindustantimes.com/india-news/manipur-heavy-rains-trigger-landslides-along-national-highways/story-84kUb5i3oGENZmSEVhJ3eO.html,24.27173018,93.28039349
10988,07/09/2017 06:45:00 PM,Landslide on NH-6,"Pahamrynnai, Ribhoi, Meghalaya",1km,continuous_rain,small,landslide,0,,,The Shillong Times,http://www.theshillongtimes.com/2017/07/10/landslide-in-ri-bhoi-blocks-nh-6/,25.82601444,91.87113067
11149,07/09/2017 01:23:00 PM,Landslide on NH-37,"NH-37, Manipur State, India",10km,continuous_rain,medium,landslide,0,,,Hindustan Times,http://www.hindustantimes.com/india-news/manipur-heavy-rains-trigger-landslides-along-national-highways/story-84kUb5i3oGENZmSEVhJ3eO.html,24.82767572,93.51825
11153,07/09/2017 01:23:00 PM,Landslide in Langol Laimanai,"Langol Laimanai, Imphal West, Manipur",5km,continuous_rain,small,landslide,0,,,Hindustan Times,http://www.hindustantimes.com/india-news/manipur-heavy-rains-trigger-landslides-along-national-highways/story-84kUb5i3oGENZmSEVhJ3eO.html,24.83507319,93.89896294
11157,07/09/2017 01:23:00 PM,Significant landslide blocks NH-29 near Peducha,"Peducha, Kohima, Nagaland State, India",1km,continuous_rain,medium,landslide,0,,,Eastern Mirror,http://www.easternmirrornagaland.com/landslide-near-peducha-cuts-off-national-highway-29/,25.73111942,93.98827528
11159,07/09/2017 01:23:00 PM,Landslide on NH-2 between Sinam and Laijang,"Jakhama, Kohima, Nagaland",10km,continuous_rain,small,landslide,0,,,Hindustan Times,http://www.hindustantimes.com/india-news/manipur-heavy-rains-trigger-landslides-along-national-highways/story-84kUb5i3oGENZmSEVhJ3eO.html,25.6320357,94.10065403
11162,07/09/2017 06:45:00 PM,Landslide blocks NH-37,"Burapahar, Nagaon, Assam",5km,continuous_rain,small,landslide,0,,,Daily World,https://dailyworld.in/nagaon-a-landslide-at-national-highway-37-near-burapahar-area-in/,26.56636244,93.13195098
11164,07/09/2017 01:23:00 PM,Landslides on Itanagar-Naharlagun road,"NH-52A, Naharlagun Sub-District, Papum Pare, Arunachal Pradesh, 791111",5km,continuous_rain,small,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,27.1071241,93.65156438
11165,07/09/2017 01:23:00 PM,"Landslide near Civil Secretariat, Itanagar","Civil Secretariat, Itanagar, Arunachal Pradesh, India",exact,continuous_rain,small,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,27.092916,93.61882043
11166,07/09/2017 01:23:00 PM,Landslides in Aalo,"Aalo, Itanagar, Papum Pare, Arunachal Pradesh",5km,continuous_rain,small,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,27.07671517,93.59755441
11167,07/09/2017 01:23:00 PM,Landslide on road near Durga Mandir,"Naharlagun Sub-District, Papum Pare, Arunachal Pradesh",10km,continuous_rain,small,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,27.11610665,93.79559574
11169,07/09/2017 02:21:00 PM,Landslide on Itanagar- Jote-Tapiasso road,"Itanagar- Jote-Tapiasso road, Papum Pare, Arunachal Pradesh",10km,continuous_rain,medium,landslide,0,,,The Arunachal Times,http://www.arunachaltimes.in/rebia-inspects-flood-ravaged-itanagar-jote-tapiasso-road-doimukh-circle/,27.05957271,93.50102778
11170,07/09/2017 01:23:00 PM,Mudslides in Borum and Nyorch,"Naharlagun Sub-District, Papum Pare, Arunachal Pradesh",5km,continuous_rain,medium,mudslide,0,,,The Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,27.14163897,93.66495709
11172,07/09/2017 01:23:00 PM,Landslide at Niti Vihar,"Niti Vihar, Itanagar, Arunachal Pradesh, India",5km,continuous_rain,medium,landslide,0,,,Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,27.0844941,93.60505989
10004,07/10/2017 02:21:00 PM,Landslide damages house,"Dispur, Kamrup Metropolitan, Assam",1km,continuous_rain,small,landslide,0,,,The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul1117/city050,26.14547804,91.79364785
10007,07/10/2017 02:21:00 PM,Landslide in Chandmari,"Chandmari, Guwahati, Kamrup Metropolitan, Assam, 781003",1km,continuous_rain,small,landslide,0,,,The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul1117/city050,26.19037705,91.77306002
10967,07/10/2017 06:45:00 PM,Landslide near Molnom blocks road,"NH-150, Churachandpur, Manipur, 795133",25km,rain,small,landslide,0,,,Imphal Times,http://www.imphaltimes.com/news/item/9009-state-medical-team-rushes-henglep-sub-division-stranded-midway-due-to-landslide,24.37169581,93.70684171
11160,07/10/2017 02:21:00 PM,Landslide in Tuensang Village,"Tuensang, Nagaland",5km,unknown,medium,landslide,0,,,Eastern Mirror,http://www.easternmirrornagaland.com/landslide-damages-houses-in-tuensang-village/,26.2632687,94.81481951
11163,07/10/2017 02:21:00 PM,Fatal landslide in Narayanpur,"Narayanpur, Lakhimpur, Assam, 784164",1km,continuous_rain,medium,landslide,2,,,Firstpost,http://www.firstpost.com/india/assam-floods-death-toll-reaches-33-over-12-55-lakh-people-affected-across-20-districts-3798017.html,26.95223279,93.85748748
11168,07/11/2017 02:21:00 PM,Large landslide at Laptap village,"Laptap, Papum Pare, Arunachal Pradesh, India",1km,continuous_rain,large,landslide,14,,,Hindustan Times,http://www.hindustantimes.com/india-news/14-people-feared-dead-in-massive-landslide-in-arunachal-pradesh/story-I1ogsSk2zfyvXm2wGlmjWP.html,27.21668161,93.63051815
11177,07/11/2017 02:24:00 PM,Landslide in Tawang,"Tawang, Arunchal Pradesh",5km,rain,large,landslide,19,,,NewsBytes,https://www.newsbytesapp.com/timeline/India/1929/11909/arunachal-pradesh-floods-landslides-reap-misery,27.583849,91.876945
11158,07/12/2017 01:28:00 PM,"Landslide destroys houses in Kohiama, near High School area","Kohima, Nagaland, India",1km,rain,medium,landslide,0,,,Eastern Mirror,http://www.easternmirrornagaland.com/21-houses-destroyed-by-landslide-in-kohima-town/,25.69111465,94.09483333
